line_number,text,emotion_label
26453,nhìn xót_xa quá,2
25775,chán trưa,2
16045,thư,4
16554,sao kh đợi xuống r kéo kiểu nguy_hiểm kinh,3
19122,8 năm đổi 1 mạng ng quá rẻ,2
21359,hóng hớt nè,0
22380,coi mà nghẹn,2
23913,tất_cả là nghiệp dg_thanh lọc k_tu sẽ tiêu_diệt hết,2
24031,xịn xò con bò,0
17716,của 4 hình hết dùm,0
25469,xong chuyến này đền tiền mấy căn kế bên đã lun,1
18447,tháo niềng đổi tên coi cái muốn khóc,2
18752,thề xem clip tụi nó xuống xe còn chào_chào rồi cười cứ như ai đồ ấy mà tươi lắm,0
17875,người mẹ kháng_cáo ko vậy,4
8683,t bị z chắc lên núi ở luôn á,2
15529,“ bạn là một viên ngọc_quý trong làng nhạc_tiktok ”,0
8787,ghép kìa khúc đầu không đội mũ_khúc sau thì có mũ,0
25862,đào à,4
25311,chắc 2 nhà 2 bên cũng thông_cảm chứ cháy như này thì mất hết tài_sản rồi tiền đâu mà đền_mong mọi người đùm_bọc san_sẻ nhau lúc khó_khăn,2
12644,ồn_ào nhất tiktok biết bay,1
3355,bắt rồi đề_nghị không nên thả ra chẳng giúp ít gì cho xã_hội,1
7031,bắc máy tập gym cho bảo đi xem,4
307,nước càng giống mỹ_giờ ko dám nói vn ăn toàn nx,2
20678,ở đâu_đây bn,4
17783,một mạng người một gia_đình tổn_thất to_lớn về tinh_thần thì lấy gì bù_đắp đây,2
7140,mua vỏ bơm đạn cưa làm đồ lưu_niệm,4
14401,ai mà kéo cái đọt ngta kéo cây dừa thôi nhìn nguy_hiểm quá,3
14082,khúc đó quê mún đoi quần_lun á_tr,1
19216,phạt chưa nặng khổ nạn_nhân,2
26101,trời ơi coi đến đâu run đến đấy mn ạ_tội quá,3
1829,đi đường sợ quá bạn,3
23495,p2 đi b,1
7234,anh hay quá 10 điểm,0
7786,lương,4
22787,đây là số_phận sau khi bán ga,4
988,này mà dân bắt được là toi,3
19755,thằng quay_phim luôn_luôn bất_tử,4
9235,người miền núi chất,0
20815,ở đâu vậy b,4
1039,này là tội giết người chứ ko còn cố_ý gây thương_tích nữa,1
18545,một người ra đi mãi_mãi còn người ở lại đi 8 năm thật là buồn,2
24685,khổ thân,2
28503,cháy lớn vậy may_mà ko thiệt_hại về người chia buồn dịch_bệnh đã khó_khăn rồi còn gặp cảnh này tội quá,2
7078,đường_hầm này đã được đào mở_rộng và cao hơn để khách du_lịch dễ chui á,4
17833,tổ_chức đua xe mà tội nhẹ như bông hồng vậy nhỉ,1
11446,ngầu r đó,0
12832,nghiệp tới nhanh lắm,0
22123,hóng,4
20441,nhà có 4 đứa con thì an_toàn hết nha chỉ chậm 15 s thôi là cháy nổ k cứu được ơn trời,3
24564,2 cái hotel bên cạnh khổ,1
13900,anh lớn tạo nét lấy số,1
20810,ở đâu vậy cả nhà xay ra bao_lâu rồi,4
19580,xa con 1 ngày mà thấy nhớ đừng nói xa_lâu hoặc k còn gặp con nữa,2
17822,mạng người chứ phải cỏ rác đâu,1
23761,sao cháy vậy,3
3156,ủa kéo hả,4
4792,sợ quá nhỉ,3
27885,dịch dã lại còn bị vậy khổ_thân gia_đình chj_chúc gia_đình chj phước_lành,2
18415,1 k đội nón_bảo_hiểm 2 đua xe chạy quá tốc_độ 3 chạy ngược_lề 4 chạy ẩu 5 vượt đèn_đỏ 6 gây tai_nạn xog bỏ trốn gây tai_nạn xong bỏ trốn là có_thể tù chung_thân r còn đằng này nhiều tội lắm ạ,1
20463,ở đâu vậy ạ,4
22156,ghê ha,3
8340,ông này được nè,0
18570,không ấy chuyển từ án số thành_án chữ được không ạ,4
6586,ủng_hộ a,0
2020,chơi á nó hay vậy,0
24629,nguyễn_hóng,4
3779,hoàng diệp ghê,1
20115,ghép bài fire vô,0
12768,thì đổi tên,1
1812,hu,2
14282,nguy_hiểm quá chú ơi,3
9298,nv1 thì đổi tên thích đá banh,4
19311,thương cô quá,2
5433,ở việt_nam cho m là con ông giời thì sai vẫn bị xử_lý nhé,1
17540,mình hiểu đc cảm_giác đó mình cũng đã chải qua cảm_giác đột_ngột nge tin ngiu mình,2
19792,nghe mấy ông mấy mà ns_mún mệt,2
5364,2 người kia có sao ko ạ,2
15794,trời ơi_phúc lớn mạng lớn chứ nguy_hiểm quá,3
405,sợ quá trời luôn,3
2416,xem sợ thế,3
26314,chây lun khác sạn r lm_sao làm_việc đại_sự đc,1
9530,truc,4
16405,sợ lưỡi cưa vô_chân ổng ak,3
8591,mấy e ba bi_tờ ry có ý_định làm chính thất_chắc cũng rén,3
14965,hết hồn thật,3
13798,tội cái đg,2
26701,cháy ga có cháy nhà bt đâu mà phun nc,0
4577,tại thg bán đồ,1
8874,mình còn nhớ hồi mới vào lớp 10 bị một cj hẹn ở cổng trường vì mình liếc cj đấy nhưng mình nhớ chưa liếc và cũng không có gặp,2
1396,trời ơi hoang_mang quá,1
16408,đúng anh_hùng thà chết chứ ko buôn vũ_khí,2
12026,đang tập lớn làm barber,4
8649,hướng nội hết phần đời còn lại,2
17506,con_người ta mất thì sao ta buồn đau_khổ zạy,2
26578,sắp ag,3
21138,u là trời khúc cúi hết cmn_hồn,1
1871,ông anh tui ạ k,0
18318,nếu được bồi_thường mà tha_thứ thì nhóm này ko biết ăn_năn đâu còn nhỏ mà tôi ác như_vậy mà ko chừng_trị thì sao này nó sẽ làm lớn hơn_nữa,2
6315,nơi này công_an yếu,1
2092,mốt ra đường chắc mặc áo_giáp cho chắc,3
4220,hk dám xuống cần thơ luôn,3
18506,chung_thân,0
8361,tham_cái của lạ rồi để tù_tội mất hết,1
21829,jsgaihevak,4
23527,ngựa cái ko lo cắt điện đi gọi ngta cô đó nói đúng mà nó còn kêu ko liên_quang nhà mình,1
4029,tội ông chờ đèn_đỏ,2
12197,hơi nhẹ k,0
5927,do ngọc đậu ace cẩn_thận,4
25936,xui quá xui,2
17349,jet nè,0
20787,chưa tết mà có pháo_hoa rồi,0
20241,có đôi nào mà cặp_bồ ở cái khách_sạn kia nhỉ,0
980,nhi,4
27077,toang,2
6386,kể khổ_hả,4
23357,thấy xe cứu hỏa thập_thò rồi lùi ra chắc đợi cháy xong vào dọn_dẹp,2
27915,hz tội cho gia_chủ,2
25983,vụ này ở đâu vậy ad,4
837,xuân nay con hong về ạ,2
15041,chị tấm,4
26432,nhà ngta chảy nổ nhà_hàng_xóm móc máy ra quay bàn_tán ghê thật,1
1342,thang này khi nào ra khỏi phòng công_an thì cho tôi hay để tôi cho nó biết thích thể_hiện là như nào,1
8066,ối trời đã đồ_chơi đừng đòi là chính thất_hiểu chưa,1
6607,kỳ_quan yêu nước độc_nhất_vô_nhị trên thế_giới chỉ có_thể là việt nan,0
25211,xe cứu hỏa không dám vào à,3
19820,tháng cô_hồn mn làm gì cũng_nên cẩn_thận nhé,3
28402,mấy a chị đã học qua trường_lớp chữa_cháy đâu_đây là lúc thực_tiễn hay nhất đấy điểm cao,4
27951,mấy thằng cứu hỏa đâu để cho mấy đứa quay video gần 1 tiếng đồng_hồ thế_này,1
25285,o đau vậy,2
21177,ngay phía trước ngã 3 nhà em ah,4
12977,mấy cháu mới lớn tưởng thế_là ngầu,1
14297,tính ra con trai tuổi_thọ thấp nhỉ,2
26776,eo ui,0
1917,tokyo hết dám lên anh luôn,0
9062,mobile,0
18805,k_quản con nuông chiều chi đi vài năm cho chừa,1
23513,sao ko dập,3
24094,eo ơi sợ thế,3
15835,trúng chân chảy_máu kìa,3
12147,chắc gặp đứa nhỏ hơn chứ gặp t thì t cứu nó đc_khúc té xe rồi,1
19797,ai ở từ sơn bắc_ninh sẽ biết năm trc có vụ cháy chợ,4
16337,kinh_nghiệm chưa nhìu như vua khỉ,4
14668,hestina,4
27309,ghê,1
28288,thế còn người trong hai nhà lân_cận thì sao,4
13376,cái thứ tr đất k vung,1
3872,lý_do gì,4
7164,phim có giới_hạn độ tuổi k ạ,4
19292,thả hết đi,4
289,thằng này về đồn sướng,1
6614,phim rất hay nên đi xem đi a,0
19434,gđ cứ bãi_nại cho tụi nó xh sẽ dạy tụi nó,1
26282,ủa sao mình ko nghe nỗ mà mình chỉ nghe họ nói lỗ là sao mình coi mãi mà k thấy cái lỗ nào tức thiệt,1
10388,con chưa vừa lòng t nữa k,2
16473,trời nguy_hiểm quá,3
11323,giờ vậy không tương_lai sẽ ra sao,2
14214,xã xui_cực mạnh,2
25695,mất hết_ròi bao năm công_sức,2
17608,từ lúc đó đến giờ có giam_giữ mấy đứa này không vậy sao tụi nó còn có thời_gian hớt_tóc đến kia,1
7474,cả 2 đều trả_giá vì ngoại_tềnh,1
6199,hà_nội ko làm thì_thôi chứ làm khỏi chạy,1
23085,sợ vãi,3
27055,nhà hàng_xóm cháy thak này quay đc cái nhiều tim nuôn,3
8370,chắc_tâm tao ác tao thấy kết_quả hả_hê cho những kẻ ngoại_tình kẻ thích làm tiểu_tam,1
28232,nghe bà ki nói ngắt_điện liên_quan đến gì mình đã biết là k có tâm_rùi,1
2054,trần,4
20223,các b có_thể đừng thắc_mắc cứu hỏa đâu nữa được ko cháy nổ như_thế có ông giời xuống mới dám lao vào dập lửa ý cứ đổ lỗi cho pc rõ khổ,1
4646,kẻ giữ làng muốn vào từ thử_nghiệm,4
18947,sao thấy mấy tk trẻ trâu thích_đua xe thế_nhỉ đã nguy_hiểm chính mình còn nguy_hiểm người khác nên cấm mấy chỗ mà độ xe độ bô là nó hết đua chứ j đâu,1
4770,cứ thả thính thôi,0
4065,mong phạt nặng tay,1
11168,kiếm chuyện với người nhiều phước kiểu,4
15781,mekdi wong tuo ngo dolan,2
24405,nè,4
25147,cháy xong rồi mời các a,1
14277,nguy_hiểm quá mấy bác,3
26628,khổ dịch_giã rùi lại còn thế_này nữa nhưng còn người là còn của ta làm_nên của chứ của không làm ra người mong_mn mạnh khỏe,2
26431,thau tui cũng lạy cong an_chua chay còi thì hú nuoc thi_hong thay đau nghĩ sao vay,1
14144,sợ cái cưa chúng chân ổng,3
6335,giờ hn vẫn còn cướp_giật nữa sao,3
2528,ghê v tr,3
5463,trang,4
23522,co phan_hai khong ban,4
13801,parkychoa,4
1049,thế nên phải cấm ma túy triệt_để chứ vẫn để ma_túy len_lỏi mất kiểm_soát thì xã_hội_loạn ngay,1
14102,vừa lòng tao,1
24701,khẩm,1
22538,ấy đứa đg ứ_ừ trong khách_sạn kiểu,0
19173,đi 8 năm thì cũg về con ngta đi thì chỉ còn là kĩ_niệm,2
25585,mấy bạn bảo cháy gas thì phun nước thi rất sai_lầm nhé,1
10200,sống ẩn hết phần đời còn lại,2
1482,trang ớn_lạnh thiệt chứ,3
8237,nhanh gọn_lẹ ủng_hộ 2 tay,0
13939,cái kết cũng vui vui_lòng rồi,0
13576,văn_hóa đi tìm bố,2
18674,tôi cũng từng có vài thằng bạn cũng đam_mê bộ_môn tốc_độ này cũng có khuyên_can nhưng ko dám nói nhiều sợ nó nhem hung_hãn lắm,2
11787,nhóc con chưa chải sự đời,1
3706,xe cam_manh_động quá,1
1149,thế_giới bây_giờ đáng sợ v,3
1687,thị cẩm_ý,4
24145,đủ cháy chưa,0
22439,cứu hỏa nào ms lại nhức,2
28210,cầu trời khẩn_phật cho mn bình_an,4
15431,dương,4
13758,hướng nội_phần đời còn lại,4
4454,thấy cũng hay vì nó đang thách_thức pháp_luật ấy mà,1
18561,có kiện đc bố_mẹ ng phạm_tội k nhỉ,4
27126,mong là trong nhà không có cún hay mèo,2
27532,có ai biết nguyên_nhân vì sao nổ ko a,4
8031,bài hc cho b3 đừng mong thay_thế thành chính thất_út hiếu,1
9666,đề_nghị c_a vào_cuộc xử_lý những vấn_đề như thế_này là mầm_móng của tội_phạm trong tương_lai không_thể bỏ_qua đc,1
20382,nhìn sợ ghê,3
12134,parky tìm bố k,0
334,cmt toàn mấy đứa tư_duy ngược mệt thật,1
26486,sợ qua,3
7345,bà zk rén rồi đang đặt câu hỏi bao h tới t chứ t ko dám đưa đơn nó kí,1
21851,quả cuối giật_mình luô,3
20272,dịch_bệnh còn cháy,2
2422,trong nam toàn lừa_đảo với mấy vụ như này,1
26958,cho minh_hỏi nếu chạy lang nhà bên cạnh z có đền ko,4
19073,nợ mạng thì phải trả mạng,1
18343,xử nặng vào làm_ơn làm_gương đi pháp_luật hỏng hết 1 thế_hệ rồi,1
12571,gặp t ở đó chắc cười banh_xác,0
18943,nếu tôi có vài điều_ước thì những thằng oắt con đua xe đều chết bất_đắc_kỳ_tử kể_cả con tôi,1
15580,lời bài hát sâu_lắng quá nghe mà muốn khóc luôn,2
2130,đúng ác hết chỗ nói trừng_phạt nặng vào,1
17126,linh,4
8183,trong tất_cả ngườibđàn ông ngoại_tình_nể mỗi ông này,0
7948,ông đang ở bên cam à làm gì còn công_an quận_huyện nữa,0
26644,đừng có chê cứu hỏa dây_điện thế kia xịt cho giật chết à nào ngắt mới xịt,1
3152,lại nhớ gwen thêm đồ tông_xanh nữa chứ,4
20371,ê_giờ nhìn mấy chổ cháy t thấy sợ sợ sao á,3
24126,nhìn sợ quá mọi người ơi,3
19801,cái nhà_khách san chắc ôi cái nhà của tao,0
11253,bọn mày_dung cháu tao 1 cái he,1
13315,cười có_thể chớt liền đc luoin,0
27321,ở dau v a,4
10344,cần ip16 nhắn anh,4
8685,cha_mẹ đẻ nuôi vất_vả tốn tiền tốn cơm,2
14032,ngầu vaiz,0
10963,mấy ông chõi con,1
20860,tiếp i,4
8760,t có_thể cười đến chet,2
16931,lúc sinh_thời cha_con rất thích ăn_cau,0
13464,k biết trong đầu bọn nó nghĩ gì mà nghĩ thế_là ngầu nhỉ,1
28081,tội cái nhà bên cạnh,2
6511,phim địa_đạo nếu có vai của anh johny_trí nguyễn thì càng thêm hấp_dẫn nữa,0
3466,chán cái từ trc khi bỏ đi nói cái gì nge 100 lần không rõ,2
5197,con_người dạo này bị sao_ý có_lẽ sáp hết thời_kỳ thống_trị rồi,2
7336,mình biết ck ngoại_tình mình li_dị luôn hợp_tác cho hai đứa đến với nhau luôn,1
25071,tội mấy nhà kế bên lun á_ko bt có đc bồi_thường ko hay chịu_trận luôn,2
2236,nhật thanh kế bên mình luôn hu,2
26393,vào nick xem,2
17487,hy_vong pháp_luật thật mạnh_tay vs mấy thành_phần này,1
8099,thương_vk mà ngoại_tình àh còn khai cướp ổng nữa chứ muốn chửi mà ở tiktok chửi ko được nên ức thật,1
8907,sợ nhất mấy ông này,3
3193,rất nhanh_chóng kịp_thời,0
5376,đó h ra đường tui sợ nhất là nv mà chưa thấy giờ mới thấy càng sợ hơn,3
22859,bạn ơi chạy ra dập lửa đi nghe nói nó mát lắm nek,0
4179,trời ơi lỡ nó mà bị bệnh truyền_nhiễm thì khổ ngta,3
2275,nạn thân thật là có sức chịu_đựng hay ha chứ mình chắc ngất_lun rồi,2
9421,khoe xăm à,1
28276,tội ngta đã dịch rồi còn,2
8384,hảo hán,0
20621,sợ quá,3
20869,part 2 đi,4
16681,hẹn là ông này máy của còn nỏi đó,1
27987,ở đâu vậy a,4
20824,gas đag nổ luôn mới ghê như bom lun,3
4395,chúc đồng_chí ngồi tù vui_vẻ,1
17323,chú có sao ko,4
23455,thiệt_hại vài chục tỷ chứ ít,1
4286,was he stabed,3
10922,thứ này sống k có_ích xh,1
27025,mới coi thời_sự xong lướt gặp luôn,4
